epoch,train_ll,test_ll,train_acc,test_acc
1,-0.6096554714437045,-0.5853170555414959,0.8594833333333334,0.8698
2,-0.48976719365470456,-0.4669215794218313,0.8765,0.8838
3,-0.4406184799244669,-0.4190746990029209,0.8848666666666667,0.8919
4,-0.4123475469653057,-0.39191531870710894,0.8900833333333333,0.8969
5,-0.3934126852167183,-0.37395562919129166,0.8938,0.9011
6,-0.3795786402062876,-0.3609941022766661,0.8969666666666667,0.9035
7,-0.3688866164976364,-0.351094029516803,0.8994333333333333,0.9061
8,-0.3602918121256503,-0.3432259698862639,0.90135,0.9075
9,-0.35317983017450527,-0.3367867095127408,0.9026666666666666,0.9087
10,-0.3471627006870899,-0.33139671101925106,0.9037666666666667,0.9098
11,-0.34198173980523194,-0.3268038273207329,0.9054833333333333,0.9106
12,-0.3374569001105528,-0.32283319174057096,0.9062,0.9115
13,-0.3334584323619824,-0.3193592362559742,0.9072333333333333,0.9124
14,-0.3298901080139716,-0.31628915854770717,0.9081833333333333,0.914
15,-0.32667881439338964,-0.31355269026608673,0.90915,0.9142
16,-0.3237678467079245,-0.3110955147777198,0.9098166666666667,0.915
17,-0.321112438589195,-0.30887489102726584,0.9105833333333333,0.9154
18,-0.3186766985803113,-0.30685666053912936,0.9113166666666667,0.9161
19,-0.31643145792160865,-0.3050131493154292,0.91215,0.9166
20,-0.31435272546985343,-0.30332166485041767,0.9127833333333333,0.9171
21,-0.312420557004309,-0.30176339858775636,0.9134833333333333,0.9174
22,-0.31061821349622165,-0.3003226105919141,0.91405,0.9175
23,-0.3089315247818176,-0.2989860144660724,0.9145666666666666,0.9184
24,-0.3073484017840902,-0.2977423068328072,0.9150333333333334,0.9188
25,-0.30585845785814664,-0.29658180282395163,0.9153,0.9188
26,-0.30445271144722247,-0.2954961504228295,0.91565,0.9191
27,-0.303123350118857,-0.2944781042274466,0.9159166666666667,0.919
28,-0.3018635414929619,-0.2935213445299291,0.9162666666666667,0.9193
29,-0.3006672803899176,-0.29262033133802545,0.9165,0.9194
30,-0.29952926424165854,-0.29177018561488954,0.9168833333333334,0.9195
31,-0.2984447907656331,-0.2909665919214816,0.91735,0.9196
32,-0.29740967332949475,-0.2902057180365858,0.91755,0.9198
